date,buy,sell
2022-01-04,"['000002.SZ', '000001.SZ']",[]
2022-02-07,[],[]
2022-03-09,[],[]
2022-04-08,[],[]
2022-05-09,[],[]
2022-06-08,[],[]
2022-07-08,[],[]
2022-08-08,[],[]
2022-09-07,[],[]
2022-10-10,[],[]
2022-11-09,[],[]
2022-12-09,[],[]
2023-01-09,[],[]
2023-02-08,[],[]
2023-03-10,[],[]
2023-04-10,[],[]
2023-05-10,[],[]
2023-06-09,[],[]
2023-07-10,[],[]
2023-08-09,[],[]
2023-09-08,[],[]
2023-10-09,[],[]
2023-11-08,[],[]
2023-12-08,[],[]
2024-01-08,[],[]
2024-02-07,[],[]
2024-03-08,[],[]
2024-04-08,[],[]
2024-05-08,[],[]
2024-06-07,[],[]
2024-07-08,[],[]
2024-08-07,[],[]
2024-09-06,[],[]
2024-10-08,[],[]
2024-11-07,['000012.SZ'],['000002.SZ']
